AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
A1341512,TIGRE,CAT,TABBY-GRAY,,DOMESTIC SH,NEUTERED,2024-04-01,5 MONTHS,2024-07-10,HEALTHY,FOSTER,,,2024-07-10,ADOPTION,WALK IN,HEALTHY,AUZERAIS AVE/JOSEFA ST,SAN JOSE,2024-07-10
A1341534,MILLIE,CAT,WHITE,,DOMESTIC SH,SPAYED,2024-04-23,5 MONTHS,2024-07-09,HEALTHY,FOSTER,,IP ADOPT,2024-07-09,ADOPTION,,HEALTHY,,SAN JOSE,2024-07-09
A1341535,LUCA,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2024-04-23,5 MONTHS,2024-07-09,HEALTHY,FOSTER,,IP ADOPT,2024-07-09,ADOPTION,,HEALTHY,,SAN JOSE,2024-07-09
A1341536,,CAT,TORBI-DIL,,DOMESTIC SH,SPAYED,2024-04-23,5 MONTHS,2024-07-09,HEALTHY,FOSTER,,IP ADOPT,2024-07-09,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-07-09
A1341537,MUSHU,CAT,BLACK,,DOMESTIC SH,NEUTERED,2024-04-23,5 MONTHS,2024-07-09,HEALTHY,FOSTER,,IP ADOPT,2024-07-09,ADOPTION,,HEALTHY,,SAN JOSE,2024-07-09
A1341550,,CAT,WHITE,,DOMESTIC SH,SPAYED,2024-04-23,5 MONTHS,2024-07-09,HEALTHY,FOSTER,,IP ADOPT,2024-07-09,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-07-09
A1341576,JASPER,CAT,ORANGE,,DOMESTIC SH,NEUTERED,2024-04-14,5 MONTHS,2024-07-09,HEALTHY,FOSTER,,,2024-07-09,ADOPTION,WALK IN,HEALTHY,SOUTH 11TH/ E REED,,2024-07-09
A1341577,OPAL,CAT,GRAY,,DOMESTIC SH,SPAYED,2024-04-14,5 MONTHS,2024-07-09,HEALTHY,FOSTER,,,2024-07-09,ADOPTION,WALK IN,HEALTHY,SOUTH 11TH/ E REED,,2024-07-09
A1341581,BRUCE,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2024-05-25,4 MONTHS,2024-07-21,HEALTHY,FOSTER,,,2024-08-02,ADOPTION,,HEALTHY,SAN BERNANDINO WAY / SANTA ROSA DR,SAN JOSE,2024-08-02
A1341643,ALICE,CAT,TABBY-BRN,,DOMESTIC MH,SPAYED,2024-04-14,5 MONTHS,2024-07-31,MED R,FOSTER,,,2024-08-01,ADOPTION,WALK IN,HEALTHY,SADDLEBROOK DR X MARJOHN BLVD,SAN JOSE,2024-08-01
A1341651,TRIX,CAT,TABBY-BRN,BLACK,DOMESTIC SH,SPAYED,2024-04-10,5 MONTHS,2024-07-24,MED R,FOSTER,,,2024-09-14,ADOPTION,,HEALTHY,,SAN JOSE,2024-09-14
A1341659,EMBER,CAT,TORTIE-B\O,,DOMESTIC SH,SPAYED,2024-04-14,5 MONTHS,2024-07-05,HEALTHY,FOSTER,,,2024-07-05,ADOPTION,,HEALTHY,,SAN JOSE,2024-07-05
A1341672,INDY BELLE,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2024-04-21,5 MONTHS,2024-08-21,HEALTHY,FOSTER,,,2024-08-21,ADOPTION,,HEALTHY,,SAN JOSE,2024-08-21
A1341682,CHUCHO,DOG,BLACK,WHITE,PIT BULL,NEUTERED,2023-11-29,10 MONTHS,2024-08-22,HEALTHY,FOSTER,,,2024-08-22,FOSTER,,HEALTHY,,,2024-08-22
A1341707,JONSEY,CAT,TABBY-ORG,WHITE,DOMESTIC SH,NEUTERED,2024-04-18,5 MONTHS,2024-07-12,MED R,FOSTER,,,2024-07-12,ADOPTION,WALK IN,,,SAN JOSE,2024-07-12
A1341708,GOOSE,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2024-04-18,5 MONTHS,2024-07-12,HEALTHY,FOSTER,,,2024-07-12,ADOPTION,WALK IN,,,SAN JOSE,2024-07-12
A1341716,TINO,DOG,BROWN,BLACK,PODENGO PEQUENO,NEUTERED,2015-08-25,9 YEARS,2024-08-06,HEALTHY,FOSTER,,,2024-08-06,ADOPTION,,HEALTHY,E BROKAW RD / OAKLAND RD,SAN JOSE,2024-08-06
A1341757,SELF CHECKOUT,CAT,BLACK,,DOMESTIC SH,SPAYED,2024-03-19,6 MONTHS,2024-07-19,HEALTHY,FOSTER,,IP ADOPT,2024-07-19,ADOPTION,,HEALTHY,,SAN JOSE,2024-07-19
A1341775,,CAT,GRAY,WHITE,DOMESTIC SH,NEUTERED,2022-07-18,2 YEARS,2024-07-15,MED R,STRAY,OTC,,2024-07-20,RTF,,HEALTHY,NATURE DR/SANTA TERESA BLVD,SAN JOSE,2024-07-20
A1341814,,CAT,WHITE,BLACK,DOMESTIC SH,NEUTERED,2024-04-29,5 MONTHS,2024-07-15,MED R,FOSTER,,,2024-08-08,ADOPTION,,HEALTHY,ORLANDO DR X EVERGLADE AVE,SAN JOSE,2024-08-08
A1341848,SUMA,CAT,TABBY-BRN,,DOMESTIC MH,NEUTERED,2024-04-23,5 MONTHS,2024-07-03,HEALTHY,FOSTER,,,2024-07-05,ADOPTION,WALK IN,,,SAN JOSE,2024-07-05
A1341848,SUMA,CAT,TABBY-BRN,,DOMESTIC MH,NEUTERED,2024-04-23,5 MONTHS,2024-08-31,HEALTHY,OWNER SUR,OTC,,2024-09-08,ADOPTION,WALK IN,HEALTHY,,OUT OF COUNTY,2024-09-08
A1341854,KINGSTON,CAT,BLACK,,DOMESTIC SH,NEUTERED,2024-04-01,5 MONTHS,2024-07-10,HEALTHY,FOSTER,,,2024-07-10,FOSTER,,,S 18TH ST X E WILLIAMS ST,SAN JOSE,2024-07-10
A1341854,KINGSTON,CAT,BLACK,,DOMESTIC SH,NEUTERED,2024-04-01,5 MONTHS,2024-07-12,HEALTHY,FOSTER,,,2024-07-12,ADOPTION,,HEALTHY,,SAN JOSE,2024-07-12
A1341868,LUNA MEW,CAT,GRAY,WHITE,DOMESTIC SH,SPAYED,2024-05-01,4 MONTHS,2024-07-19,HEALTHY,FOSTER,,,2024-07-28,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-07-29
A1341869,CHIPMUNK,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2024-05-01,4 MONTHS,2024-07-19,HEALTHY,FOSTER,,,2024-08-16,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-08-16
A1341870,MONGOOSE,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2024-05-01,4 MONTHS,2024-07-19,HEALTHY,FOSTER,,,2024-08-18,ADOPTION,WEBSITE,HEALTHY,,SAN JOSE,2024-08-18
A1341870,MONGOOSE,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2024-05-01,4 MONTHS,2024-08-19,HEALTHY,RETURN,OTC,,2024-08-24,ADOPTION,,HEALTHY,,SAN JOSE,2024-08-24
A1341871,ASH,CAT,GRAY,,DOMESTIC SH,NEUTERED,2024-05-01,4 MONTHS,2024-07-19,HEALTHY,FOSTER,,,2024-07-20,ADOPTION,WALK IN,,,SAN JOSE,2024-07-20
A1341872,POSSUM,CAT,GRAY,,DOMESTIC SH,SPAYED,2024-05-01,4 MONTHS,2024-07-19,HEALTHY,FOSTER,,,2024-07-20,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-07-20
A1341908,VERMIN,CAT,BLACK,,DOMESTIC SH,NEUTERED,2024-05-08,4 MONTHS,2024-08-23,MED R,FOSTER,,IP ADOPT,2024-08-23,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-08-23
A1341909,SIMBA,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2024-05-08,4 MONTHS,2024-08-23,MED R,FOSTER,,IP ADOPT,2024-08-23,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-08-23
A1341910,CHURCH,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2024-05-08,4 MONTHS,2024-08-23,MED R,FOSTER,,IP ADOPT,2024-08-23,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-08-23
A1341928,WINSTON,DOG,WHITE,,MALTESE,NEUTERED,2022-05-28,2 YEARS,2024-09-12,HEALTHY,FOSTER,,,2024-09-12,ADOPTION,,HEALTHY,,SAN JOSE,2024-09-12
A1341934,MISSY,CAT,TORTIE-B\O,,DOMESTIC SH,SPAYED,,NO AGE,2024-07-17,MED R,FOSTER,,,2024-07-17,ADOPTION,WALK IN,,,SAN JOSE,2024-07-20
A1341935,RANNI,CAT,TORTIE-DIL,,DOMESTIC SH,SPAYED,2024-04-27,5 MONTHS,2024-07-17,MED R,FOSTER,,,2024-07-17,ADOPTION,WALK IN,,,SAN JOSE,2024-07-17
A1341936,POE,CAT,BLACK,,DOMESTIC SH,NEUTERED,2024-04-27,5 MONTHS,2024-07-20,HEALTHY,FOSTER,,,2024-07-27,ADOPTION,WALK IN,HEALTHY,KAUAI DR X OAHU DR,SAN JOSE,2024-07-27
A1341937,LOU,CAT,PT-LILAC,,DOMESTIC SH,NEUTERED,2024-04-27,5 MONTHS,2024-07-17,HEALTHY,FOSTER,,,2024-07-17,ADOPTION,WALK IN,,,SAN JOSE,2024-08-03
A1341938,MEEKO,CAT,GRAY,,DOMESTIC SH,NEUTERED,2024-04-27,5 MONTHS,2024-07-17,HEALTHY,FOSTER,,,2024-07-27,ADOPTION,WALK IN,HEALTHY,KAUAI DR X OAHU DR,SAN JOSE,2024-07-27
A1341939,PEANUT,CAT,TABBY-BUFF,,DOMESTIC SH,NEUTERED,2024-04-27,5 MONTHS,2024-07-17,HEALTHY,FOSTER,,,2024-07-17,ADOPTION,WALK IN,,,SAN JOSE,2024-07-17
A1341983,PINDER,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2024-04-25,5 MONTHS,2024-08-02,HEALTHY,FOSTER,,,2024-08-25,ADOPTION,WALK IN,HEALTHY,MONTEREY RD,SAN JOSE,2024-08-25
A1341985,WILDER,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2024-04-25,5 MONTHS,2024-08-02,HEALTHY,FOSTER,,,2024-08-25,ADOPTION,WALK IN,HEALTHY,MNONTEREY RD,SAN JOSE,2024-08-25
A1341987,SCOOTER,CAT,WHITE,TABBY-GRAY,DOMESTIC SH,NEUTERED,2024-05-03,4 MONTHS,2024-07-02,HEALTHY,FOSTER,,IP ADOPT,2024-07-09,ADOPTION,,HEALTHY,GIANNOTTA WAY,SAN JOSE,2024-07-09
A1342001,ASTRO,DOG,TRICOLOR,,AMER FOXHOUND,NEUTERED,2023-05-23,1 YEAR 4 MONTHS,2024-07-17,HEALTHY,FOSTER,,IP ADOPT,2024-07-17,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-08-19
A1342004,ROCKY,CAT,GRAY,,DOMESTIC SH,NEUTERED,2024-03-24,6 MONTHS,2024-07-24,HEALTHY,FOSTER,,,2024-09-14,ADOPTION,,HEALTHY,,SAN JOSE,2024-09-14
A1342006,GEARLT,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,NEUTERED,2024-05-02,4 MONTHS,2024-09-19,HEALTHY,FOSTER,,IP ADOPT,,,,,,SAN JOSE,2024-09-25
A1342007,YENNIFER,CAT,PT-LILAC,WHITE,DOMESTIC SH,SPAYED,2024-04-24,5 MONTHS,2024-09-19,HEALTHY,FOSTER,,IP ADOPT,,,,,,SAN JOSE,2024-09-25
A1342009,PATCHES,CAT,TABBY-GRAY,,DOMESTIC MH,NEUTERED,2024-04-24,5 MONTHS,2024-07-24,MED R,FOSTER,,,2024-07-30,ADOPTION,,HEALTHY,,SAN JOSE,2024-07-30
A1342010,JANE AUSTIN,CAT,TORTIE-B\O,,DOMESTIC MH,SPAYED,2024-04-24,5 MONTHS,2024-07-24,MED R,FOSTER,,,2024-07-31,ADOPTION,WALK IN,,,SAN JOSE,2024-07-31
A1342010,JANE AUSTIN,CAT,TORTIE-B\O,,DOMESTIC MH,SPAYED,2024-04-24,5 MONTHS,2024-08-03,HEALTHY,RETURN,OTC,,2024-08-10,ADOPTION,WALK IN,,,SAN JOSE,2024-08-10
A1342043,BODHI,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2024-04-24,5 MONTHS,2024-07-15,MED R,FOSTER,,,2024-08-10,ADOPTION,WALK IN,HEALTHY,RAMSTREE DR./HOSTETTER RD.,SAN JOSE,2024-08-14
A1342043,BODHI,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2024-04-24,5 MONTHS,2024-09-03,MED R,FOSTER,,,2024-09-03,ADOPTION,,HEALTHY,,SAN JOSE,2024-09-03
A1342043,BODHI,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2024-04-24,5 MONTHS,2024-08-19,MED R,FOSTER,,,2024-08-19,FOSTER,,HEALTHY,,SAN JOSE,2024-08-19
A1342043,BODHI,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2024-04-24,5 MONTHS,2024-08-14,MED R,RETURN,,,2024-08-14,FOSTER,,,,SAN JOSE,2024-08-14
A1342045,MAPLE,CAT,PT-CHOC,,DOMESTIC SH,SPAYED,2024-04-23,5 MONTHS,2024-07-05,MED R,FOSTER,,,2024-07-05,ADOPTION,WALK IN,,,SAN JOSE,2024-07-05
A1342051,CROSSING GUARD,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2024-04-17,5 MONTHS,2024-08-16,HEALTHY,FOSTER,,,2024-08-24,ADOPTION,,HEALTHY,,,2024-08-24
A1342051,CROSSING GUARD,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2024-04-17,5 MONTHS,2024-07-31,MED R,FOSTER,,,2024-07-31,FOSTER,,MED R,,,2024-07-31
A1342051,CROSSING GUARD,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2024-04-17,5 MONTHS,2024-07-31,MED R,FOSTER,,,2024-07-31,FOSTER,,MED R,,,2024-07-31
A1342052,IZZY,CAT,BLACK,,DOMESTIC SH,SPAYED,2024-06-05,3 MONTHS,2024-09-07,HEALTHY,FOSTER,,,2024-09-07,ADOPTION,,HEALTHY,,,2024-09-07
A1342053,,CAT,PT-LILAC,,DOMESTIC SH,SPAYED,2024-04-17,5 MONTHS,2024-07-31,MED R,FOSTER,,,2024-07-31,FOSTER,,MED R,,SAN JOSE,2024-07-31
A1342053,,CAT,PT-LILAC,,DOMESTIC SH,SPAYED,2024-04-17,5 MONTHS,2024-08-16,MED R,FOSTER,,IP ADOPT,2024-08-16,ADOPTION,WALK IN,,,SAN JOSE,2024-08-16
A1342055,,CAT,BLACK,,DOMESTIC SH,NEUTERED,2024-04-17,5 MONTHS,2024-08-16,MED R,FOSTER,,,2024-08-17,ADOPTION,WALK IN,,,SAN JOSE,2024-08-17
A1342055,,CAT,BLACK,,DOMESTIC SH,NEUTERED,2024-04-17,5 MONTHS,2024-07-31,MED R,FOSTER,,,2024-07-31,FOSTER,,MED R,,SAN JOSE,2024-07-31
A1342084,BABY,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2024-05-16,4 MONTHS,2024-07-24,HEALTHY,FOSTER,,,2024-07-30,ADOPTION,WALK IN,,FLEMING AVE/STORY RD,SAN JOSE,2024-07-30
A1342100,COCO,CAT,TABBY-BRN,BLACK,DOMESTIC SH,NEUTERED,2024-04-16,5 MONTHS,2024-08-09,HEALTHY,FOSTER,,,2024-08-09,FOSTER,,HEALTHY,,SAN JOSE,2024-08-09
A1342100,COCO,CAT,TABBY-BRN,BLACK,DOMESTIC SH,NEUTERED,2024-04-16,5 MONTHS,2024-08-10,HEALTHY,FOSTER,,,2024-08-10,ADOPTION,,HEALTHY,,SAN JOSE,2024-08-10
A1342101,OTTER,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,2024-04-16,5 MONTHS,2024-08-09,HEALTHY,FOSTER,,IP ADOPT,2024-08-09,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-08-09
A1342102,SAM,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,2024-04-16,5 MONTHS,2024-08-02,HEALTHY,FOSTER,,,2024-08-02,ADOPTION,WALK IN,HEALTHY,MONTEREY RD,SAN JOSE,2024-08-02
A1342103,KIWI,CAT,TORBI-DIL,,DOMESTIC SH,SPAYED,2024-04-16,5 MONTHS,2024-08-02,HEALTHY,FOSTER,,,2024-08-02,ADOPTION,WALK IN,HEALTHY,MONTEREY RD,SAN JOSE,2024-08-02
A1342157,GLACIER,DOG,WHITE,,ALASKAN HUSKY,NEUTERED,2022-12-05,1 YEAR 9 MONTHS,2024-07-16,HEALTHY,FOSTER,,,2024-08-05,ADOPTION,,HEALTHY,,SAN JOSE,2024-08-05
A1342158,LAVATAI,DOG,BLACK,WHITE,PIT BULL,FEMALE,2023-11-08,10 MONTHS,2024-07-23,HEALTHY,FOSTER,,,2024-08-12,FOSTER,,,VERA RD/ROEDER RD,SAN JOSE,2024-08-12
A1342158,LAVATAI,DOG,BLACK,WHITE,PIT BULL,FEMALE,2023-11-08,10 MONTHS,2024-08-20,HEALTHY,FOSTER,,,,,,,SENTER RD,SAN JOSE,2024-09-08
A1342173,COFFEE,DOG,TAN,GRAY,YORKSHIRE TERR,NEUTERED,2021-05-31,3 YEARS,2024-08-20,HEALTHY,FOSTER,,,2024-08-20,ADOPTION,,HEALTHY,,MILPITAS,2024-08-20
A1342194,SOPHIE,CAT,BLACK,,DOMESTIC SH,SPAYED,2024-04-26,5 MONTHS,2024-08-01,MED SEV,FOSTER,,,2024-08-01,ADOPTION,WALK IN,,,SAN JOSE,2024-08-01
A1342211,,CAT,TABBY-GRAY,,DOMESTIC MH,NEUTERED,2024-03-26,6 MONTHS,2024-07-31,HEALTHY,FOSTER,,IP ADOPT,2024-08-03,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-08-03
A1342306,RANGO,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,,NO AGE,2024-09-23,HEALTHY,STRAY,OTC,,,,,,MONTEREY/UMBARGER,SAN JOSE,2024-09-27
A1342310,WILLOW,CAT,GRAY,,DOMESTIC SH,SPAYED,2024-04-28,5 MONTHS,2024-09-10,HEALTHY,FOSTER,,,2024-09-10,ADOPTION,,HEALTHY,,SAN JOSE,2024-09-10
A1342310,WILLOW,CAT,GRAY,,DOMESTIC SH,SPAYED,2024-04-28,5 MONTHS,2024-07-15,HEALTHY,FOSTER,,,2024-07-16,FOSTER,,MED R,SHAWNEE LN X COMANCHE DR,SAN JOSE,2024-07-16
A1342310,WILLOW,CAT,GRAY,,DOMESTIC SH,SPAYED,2024-04-28,5 MONTHS,2024-07-10,HEALTHY,FOSTER,,,2024-07-10,FOSTER,,HEALTHY,SHAWNEE LN X COMANCHE DR,SAN JOSE,2024-07-10
A1342311,SOSO JR,CAT,PT-SEAL,,DOMESTIC SH,NEUTERED,2024-04-28,5 MONTHS,2024-07-10,HEALTHY,FOSTER,,,2024-07-10,FOSTER,,HEALTHY,SHAWNEE LN X COMANCHE DR,SAN JOSE,2024-07-10
A1342311,SOSO JR,CAT,PT-SEAL,,DOMESTIC SH,NEUTERED,2024-04-28,5 MONTHS,2024-07-15,HEALTHY,FOSTER,,,2024-07-15,ADOPTION,,HEALTHY,SHAWNEE LN X COMANCHE DR,SAN JOSE,2024-07-15
A1342312,JESSIE,CAT,TABBY-GRAY,,DOMESTIC SH,SPAYED,2024-04-28,5 MONTHS,2024-07-10,HEALTHY,FOSTER,,,2024-07-12,ADOPTION,,HEALTHY,SHAWNEE LN X COMANCHE DR,SAN JOSE,2024-07-12
A1342374,GUINEVERE,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2024-04-25,5 MONTHS,2024-07-12,HEALTHY,FOSTER,,,2024-08-15,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-08-15
A1342375,LANCELOT,CAT,TABBY-ORG,,DOMESTIC MH,NEUTERED,2024-04-25,5 MONTHS,2024-07-12,HEALTHY,FOSTER,,,2024-08-10,ADOPTION,,HEALTHY,,SAN JOSE,2024-08-10
A1342377,,CAT,TABBY-GRAY,,DOMESTIC MH,NEUTERED,2024-04-25,5 MONTHS,2024-07-12,HEALTHY,FOSTER,,,2024-07-27,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-07-27
A1342393,,CAT,BLACK,,DOMESTIC SH,MALE,2024-04-21,5 MONTHS,2024-07-11,MED R,FOSTER,,,2024-08-03,RESCUE,DCIN,MED R,N JACKSON AVE X MCKEE RD,SAN JOSE,2024-08-03
A1342406,DIAMOND,CAT,TABBY-GRAY,,DOMESTIC SH,SPAYED,2024-04-13,5 MONTHS,2024-08-18,HEALTHY,OWNER SUR,,,2024-08-20,ADOPTION,,HEALTHY,,SAN JOSE,2024-08-20
A1342407,TOBY,CAT,TABBY-GRAY,,DOMESTIC SH,NEUTERED,2024-04-13,5 MONTHS,2024-07-01,HEALTHY,RETURN,,,2024-07-02,ADOPTION,WALK IN,,,SAN JOSE,2024-07-16
A1342415,WASABI,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2024-04-17,5 MONTHS,2024-07-04,HEALTHY,FOSTER,,,2024-07-14,ADOPTION,WALK IN,,OCALA AVE /CAPITOL,SAN JOSE,2024-07-14
A1342415,WASABI,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2024-04-17,5 MONTHS,2024-07-06,HEALTHY,FOSTER,,,2024-07-06,FOSTER,,HEALTHY,,SAN JOSE,2024-07-06
A1342422,DUTCH,DOG,BRINDLE-BN,,DUTCH SHEPHERD,NEUTERED,2024-03-28,6 MONTHS,2024-08-01,HEALTHY,FOSTER,,,2024-08-01,ADOPTION,WALK IN,HEALTHY,,,2024-08-01
A1342428,BLUE,CAT,PT-LILAC,,DOMESTIC SH,NEUTERED,2024-05-21,4 MONTHS,2024-09-04,HEALTHY,STRAY,OTC,,2024-09-05,RTO,MICROCHIP,HEALTHY,CAPITOL VILLAGE CIR,SAN JOSE,2024-09-05
A1342442,PUDDLES,DOG,BLACK,WHITE,LABRADOR RETR,NEUTERED,2022-06-03,2 YEARS,2024-08-01,HEALTHY,FOSTER,,,2024-08-01,ADOPTION,WALK IN,,,SAN JOSE,2024-08-01
A1342452,GUERA,DOG,TAN,,FRENCH BULLDOG,SPAYED,,NO AGE,2024-07-11,MED R,FOSTER,,IP ADOPT,2024-07-11,ADOPTION,,HEALTHY,,SAN JOSE,2024-07-11
A1342456,MAOMAO,CAT,CALICO-DIL,,DOMESTIC SH,SPAYED,2024-04-17,5 MONTHS,2024-07-04,HEALTHY,FOSTER,,,2024-07-14,ADOPTION,WALK IN,HEALTHY,OCALA AVE /CAPITOL,SAN JOSE,2024-07-14
A1342458,CHAI,CAT,PT-FLAME,,DOMESTIC SH,NEUTERED,2024-04-17,5 MONTHS,2024-07-04,HEALTHY,FOSTER,,,2024-07-16,ADOPTION,WALK IN,,OCALA AVE /CAPITOL,SAN JOSE,2024-07-16
A1342458,CHAI,CAT,PT-FLAME,,DOMESTIC SH,NEUTERED,2024-04-17,5 MONTHS,2024-07-17,HEALTHY,RETURN,OTC,,2024-08-07,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-08-22
A1342462,SPU,DOG,TAN,,AUST SHEPHERD,NEUTERED,,NO AGE,2024-07-30,HEALTHY,STRAY,OTC,,2024-08-01,RTO,WALK IN,HEALTHY,14200 BLOCK STORY RD,SAN JOSE,2024-08-06
A1342464,WAFFLES,CAT,TABBY-ORG,,DOMESTIC SH,SPAYED,2024-04-28,5 MONTHS,2024-08-02,MED R,FOSTER,,IP ADOPT,2024-08-02,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-08-02
A1342470,,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2024-04-14,5 MONTHS,2024-07-10,HEALTHY,FOSTER,,,2024-07-10,FOSTER,,MED R,CENTER RIDGE,SAN JOSE,2024-08-30
A1342470,,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2024-04-14,5 MONTHS,2024-09-27,MED R,FOSTER,,,,,,,,SAN JOSE,2024-09-27
A1342527,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,2024-05-01,4 MONTHS,2024-09-27,HEALTHY,FOSTER,,,,,,,,SAN JOSE,2024-09-27
A1342527,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,2024-05-01,4 MONTHS,2024-07-10,HEALTHY,FOSTER,,,2024-07-10,FOSTER,,MED R,LUCRETIA AVE / CHAPEL HILL,SAN JOSE,2024-08-09
A1342541,CHAUNCEY,DOG,GRAY,,PIT BULL,NEUTERED,2014-05-28,10 YEARS,2024-08-05,MED R,STRAY,MEDVET,,2024-08-05,FOSTER,,MED R,900 BLOCK DELL AVE,CAMPBELL,2024-08-13
A1342592,JUNIE,CAT,TORTIE-DIL,,DOMESTIC SH,SPAYED,2024-04-12,5 MONTHS,2024-08-16,MED R,FOSTER,,IP ADOPT,2024-08-17,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-08-17
A1342598,TRAP 13,CAT,PT-SEAL,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2024-09-24,MED R,STRAY,OTC,,,,,,BETSY WAY X ROUGH AND READY RD,SAN JOSE,2024-09-24
A1342609,FISHER,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2024-04-26,5 MONTHS,2024-07-17,HEALTHY,FOSTER,,IP ADOPT,2024-07-17,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-07-17
A1342610,THUMBS,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2024-04-26,5 MONTHS,2024-07-17,HEALTHY,FOSTER,,IP ADOPT,2024-07-17,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-07-17
A1342611,PROFESSOR,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2024-04-26,5 MONTHS,2024-07-17,HEALTHY,FOSTER,,IP ADOPT,2024-07-17,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-07-17
A1342612,GINGER,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2024-04-26,5 MONTHS,2024-07-17,HEALTHY,FOSTER,,IP ADOPT,2024-07-17,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-07-17
A1342613,COSMOS,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,2024-04-26,5 MONTHS,2024-07-17,HEALTHY,FOSTER,,IP ADOPT,2024-07-17,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-07-17
A1342618,LOKI,DOG,GRAY,WHITE,LABRADOR RETR,NEUTERED,2024-03-29,6 MONTHS,2024-07-09,HEALTHY,FOSTER,,,2024-07-09,ADOPTION,WALK IN,HEALTHY,MONTEREY RD,SAN JOSE,2024-07-09
A1342758,SURGE,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2024-05-01,4 MONTHS,2024-08-21,HEALTHY,FOSTER,,,2024-08-21,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-08-21
A1342769,BLUE BEAR,DOG,GRAY,WHITE,PIT BULL,MALE,2021-06-02,3 YEARS,2024-09-08,HEALTHY,FOSTER,,,2024-09-20,FOSTER,,HEALTHY,,SAN JOSE,2024-09-20
A1342809,APOLLO,DOG,WHITE,BLACK,SIBERIAN HUSKY,MALE,2021-01-02,3 YEARS,2024-07-22,BEH U,STRAY,FIELD,,2024-08-16,RESCUE,WELCOMEHOM,BEH U,2ND X KEYES,SAN JOSE,2024-08-16
